Manga series,Demographic,Start,End,Approximate sales,Average sales per volume
Flame of Recca,Shonen,1995,2002,25,0.75
Hikaru no Go,Shonen,1998,2003,25,1.08
Jigoku Sensei N?b?,Shonen,1993,2023,25,0.35
Magi: The Labyrinth of Magic,Shonen,2009,2017,25,0.67
Maison Ikkoku,Seinen,1980,1987,25,1.66
Miyuki,Shonen,1980,1984,25,2.08
Neon Genesis Evangelion,Shonen,1994,2013,25,1.78
Oh My Goddess!,Seinen,1988,2014,25,0.52
Patalliro!,Shojo,1979,2023,25,0.24
Parasyte,Seinen,1988,1995,25,2.5
The Ping Pong Club,Seinen,1993,1996,25,1.92
Saiyuki,Shonen,1997,2023,25,1.08
Seito Shokun!,Shojo,1977,2019,25,0.31
The Silent Service,Seinen,1988,1996,25,0.78
Toriko,Shonen,2008,2016,25,0.58
Y?kan Club,Shojo,1982,2002,25,1.31
Ahiru no Sora,Shonen,2004,2019,24,0.47
Gantz,Seinen,2000,2013,24,0.64
Zatch Bell!,Shonen,2001,2007,23.8,0.72
Rave Master,Shonen,1999,2005,23.5,0.67
Himitsu Series [ja],Children,1972,2014,23,0.19
Golden Kamuy,Seinen,2014,2022,23,0.74
The Rose of Versailles,Shojo,1972,1973,23,2.3
Abu-san,Seinen,1973,2014,22,0.2
Hoshin Engi,Shonen,1996,2000,22,0.95
Terra Formars,Seinen,2011,2018,22,1
D?butsu no Oisha-san,Shojo,1987,1993,21.6,1.8
Kaiji,Seinen,1996,2023,21.5,0.28
Rookies,Shonen,1998,2003,21,0.87
Tsubasa: Reservoir Chronicle,Shonen,2003,2009,21,0.71
Ushijima the Loan Shark,Seinen,2004,2019,21,0.45
Dragon Quest Retsuden: Roto no Monsh?,Shonen,1991,1997,20.9,0.99
Shonen Shojo Nippon no Rekishi [ja],Children,1981,2018,20.2,0.84
750 Rider,Shonen,1975,1985,20,0.4
Buddha,Seinen,1972,1983,20,1.42
Cat's Eye,Shonen,1981,1984,20,1.11
Chainsaw Man,Shonen,2018,2023,20,1.66
Cuffs - Kizu Darake no Chizu,Seinen,1997,2005,20,0.63
Eyeshield 21,Shonen,2002,2009,20,0.54
Fire Force,Shonen,2015,2022,20,0.58
Food Wars!: Shokugeki no Soma,Shonen,2012,2019,20,0.55
Fushigi Yugi,Shojo,1991,1996,20,1.11
Haruhi Suzumiya,Shonen,2004,2018,20,0.35
Hayate the Combat Butler,Shonen,2004,2017,20,0.38
Kimagure Orange Road,Shonen,1984,1987,20,1.11
Tasogare Ryuuseigun [ja],Seinen,1995,2023,20,0.31
Love Hina,Shonen,1998,2001,20,1.42
Master Keaton,Seinen,1988,1994,20,1.11
Monster,Seinen,1994,2001,20,1.11
Negima! Magister Negi Magi,Shonen,2003,2012,20,0.52
Peacock King,Seinen,1985,2019,20,0.36
Red River,Shojo,1995,2002,20,0.71
Shonen Ashibe,Seinen,1988,1994,20,2.5
Sukeban Deka,Shojo,1976,1982,20,0.9
Swan,Shojo,1976,1981,20,0.95
The Quintessential Quintuplets,Shonen,2017,2020,20,1.42
The Tale of Genji,Shojo,1980,1993,20,1.53
The Fable,Seinen,2014,2023,20,1.53
Tokyo Daigaku Monogatari,Seinen,1992,2001,20,0.58
Weed,Seinen,1999,2009,20,0.33
