manga_id,title,type,score,scored_by,status,start_date,members,favorites,genres,themes,demographics,main_picture,title_english,reading,completed,on_hold,dropped,plan_to_read,total
17552,Non Non Biyori,manga,8.19,2254,finished,2009-09-26,10325,392,['Slice of Life'],"['CGDCT', 'Iyashikei', 'School']",['Seinen'],https://cdn.myanimelist.net/images/manga/2/57729l.jpg,Non Non Biyori,3403,961,757,285,5279,10685
57791,Canis Series,manga,8.33,2108,currently_publishing,2012-06-28,8818,265,"['Boys Love', 'Drama', 'Slice of Life']",[],[],https://cdn.myanimelist.net/images/manga/1/100181l.jpg,,2996,916,624,267,4434,9237
137200,Mo Dao Zu Shi,manhua,8.36,2037,currently_publishing,2017-12-08,6653,412,"['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",['Historical'],[],https://cdn.myanimelist.net/images/manga/3/246585l.jpg,The Master of Diabolism,3783,979,462,176,2713,8113
85719,Blue Giant,manga,8.27,2090,finished,2013-05-10,10974,187,['Award Winning'],['Music'],['Seinen'],https://cdn.myanimelist.net/images/manga/1/148869l.jpg,,2482,1623,491,138,7718,12452
123649,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,light_novel,8.43,1968,currently_publishing,2019-06-14,8887,496,"['Comedy', 'Romance']",[],[],https://cdn.myanimelist.net/images/manga/2/235341l.jpg,The Angel Next Door Spoils Me Rotten,4554,214,382,134,5701,10985
112370,Spirit Fingers,manhwa,8.22,2119,finished,2015-05-16,5464,255,"['Comedy', 'Romance', 'Slice of Life']",[],[],https://cdn.myanimelist.net/images/manga/2/206123l.jpg,,1047,2311,228,168,2133,5887
15306,Takemitsuzamurai,manga,8.31,2026,finished,2006-08-07,11529,319,"['Award Winning', 'Slice of Life']","['Historical', 'Martial Arts', 'Samurai']",['Seinen'],https://cdn.myanimelist.net/images/manga/2/199445l.jpg,,921,2351,321,156,8439,12188
118289,Skip to Loafer,manga,8.28,2031,currently_publishing,2018-08-25,9799,337,['Slice of Life'],['School'],['Seinen'],https://cdn.myanimelist.net/images/manga/3/220669l.jpg,Skip and Loafer,5473,128,495,154,5873,12123
112694,Fushigi Neko no Kyuu-chan,manga,8.2,2098,currently_publishing,2018-01-30,6379,236,"['Comedy', 'Slice of Life']",['Pets'],[],https://cdn.myanimelist.net/images/manga/3/220129l.jpg,,3781,192,614,273,1851,6711
122906,Kieta Hatsukoi,manga,8.33,1966,finished,2019-06-13,7367,351,"['Award Winning', 'Boys Love']",['School'],['Shoujo'],https://cdn.myanimelist.net/images/manga/2/235088l.jpg,My Love Mix-Up!,4158,967,435,138,3563,9261
6978,Ginga Eiyuu Densetsu,novel,8.55,1827,finished,1982-11-01,8344,254,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",[],https://cdn.myanimelist.net/images/manga/5/155231l.jpg,Legend of the Galactic Heroes,1095,1721,286,137,5559,8798
121781,Shousetsu Kimi no Na wa.,novel,8.24,1935,finished,2016-06-18,4720,104,"['Drama', 'Supernatural']",['Romantic Subtext'],[],https://cdn.myanimelist.net/images/manga/2/230890l.jpg,your name.,705,2744,97,133,1494,5173
10865,Touhou Shinigami: Meteor Methuselah Gaiden,manga,8.21,1945,finished,2004-10-20,5170,53,"['Action', 'Drama', 'Fantasy']",[],['Shoujo'],https://cdn.myanimelist.net/images/manga/3/14629l.jpg,,211,2528,62,39,2386,5226
98380,Bungou Stray Dogs,light_novel,8.37,1812,currently_publishing,2014-04-01,8252,1143,"['Mystery', 'Supernatural']",[],[],https://cdn.myanimelist.net/images/manga/3/180919l.jpg,Bungo Stray Dogs,3070,689,503,224,4254,8740
138533,Nan Hao Shang Feng,manhua,8.26,1736,currently_publishing,2021-04-30,4355,178,['Comedy'],['School'],[],https://cdn.myanimelist.net/images/manga/1/254654l.jpg,,4775,308,347,89,1557,7076
110771,Toshokan no Daimajutsushi,manga,8.34,1683,currently_publishing,2017-11-07,8753,248,['Fantasy'],[],['Seinen'],https://cdn.myanimelist.net/images/manga/3/208938l.jpg,Magus of the Library,3754,114,585,189,5444,10086
83903,Fate/strange Fake,light_novel,8.31,1697,currently_publishing,2015-01-10,7850,324,"['Action', 'Fantasy', 'Supernatural']",[],[],https://cdn.myanimelist.net/images/manga/3/171596l.jpg,,2651,484,463,153,4526,8277
8557,Kimi to Boku.,manga,8.18,1763,finished,2004-09-24,10365,236,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",['School'],['Shounen'],https://cdn.myanimelist.net/images/manga/5/112375l.jpg,,2847,294,703,293,6405,10542
66517,Umineko no Naku Koro ni,light_novel,8.47,1524,finished,2009-07-01,5415,455,"['Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Suspense']",['Psychological'],[],https://cdn.myanimelist.net/images/manga/1/185819l.jpg,,533,1804,154,118,3027,5636
140765,Tian Guan Ci Fu,manhua,8.56,1496,currently_publishing,2019-10-19,4312,451,"['Action', 'Adventure', 'Boys Love', 'Drama', 'Supernatural']",['Historical'],[],https://cdn.myanimelist.net/images/manga/2/258222l.jpg,Heaven Official's Blessing,3314,412,299,56,1891,5972
77597,Adachi to Shimamura,light_novel,8.36,1540,currently_publishing,2012-10-10,7124,371,"['Girls Love', 'Slice of Life']",['School'],[],https://cdn.myanimelist.net/images/manga/1/134265l.jpg,Adachi and Shimamura,2629,435,354,149,4271,7838
117077,Kimi no Suizou wo Tabetai,novel,8.63,1396,finished,2015-06-17,3423,229,"['Drama', 'Romance']",[],[],https://cdn.myanimelist.net/images/manga/2/248632l.jpg,I Want to Eat Your Pancreas,281,2206,75,34,1877,4473
108566,Machikado Mazoku,manga,8.26,1462,currently_publishing,2014-06-28,6881,304,"['Comedy', 'Slice of Life']",['Mahou Shoujo'],[],https://cdn.myanimelist.net/images/manga/2/215892l.jpg,The Demon Girl Next Door,3309,199,342,177,3351,7378
147171,Eleceed,manhwa,8.25,1453,currently_publishing,2018-10-02,3362,191,['Action'],['Super Power'],[],https://cdn.myanimelist.net/images/manga/1/260660l.jpg,Eleceed,5731,353,398,178,1568,8228
