anime_id,title,type,score,scored_by,status,source,members,favorites,rating,start_year,genres,themes,demographics,main_picture,trailer_url,title_english,watching,completed,on_hold,dropped,plan_to_watch,total
37510,Mob Psycho 100 II,tv,8.81,794061,finished_airing,web_manga,1261348,29183,pg_13,2019,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[],https://cdn.myanimelist.net/images/anime/1918/96303l.jpg,https://www.youtube.com/watch?v=Pr43Sayk37s,Mob Psycho 100 II,74125,1034763,16850,6728,201645,1334111
30276,One Punch Man,tv,8.51,1989312,finished_airing,web_manga,2837020,58638,r,2015,"['Action', 'Comedy']","['Parody', 'Super Power']",['Seinen'],https://cdn.myanimelist.net/images/anime/12/76049l.jpg,https://www.youtube.com/watch?v=ExUMiF1L0HA,One Punch Man,124626,2550113,41140,36957,172346,2925182
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,tv,8.79,703376,finished_airing,manga,1052000,14624,pg_13,2016,['Sports'],"['School', 'Team Sports']",['Shounen'],https://cdn.myanimelist.net/images/anime/7/81992l.jpg,,Haikyu!! 3rd Season,35907,946831,7717,5121,91798,1087374
33352,Violet Evergarden,tv,8.67,834283,finished_airing,light_novel,1531763,52431,pg_13,2018,"['Drama', 'Fantasy', 'Slice of Life']",[],[],https://cdn.myanimelist.net/images/anime/1795/95088l.jpg,https://www.youtube.com/watch?v=g5xWqjFglsk,Violet Evergarden,118082,1000796,53647,47972,369541,1590038
25777,Shingeki no Kyojin Season 2,tv,8.5,1622386,finished_airing,manga,2355879,19967,r,2017,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],https://cdn.myanimelist.net/images/anime/4/84177l.jpg,https://www.youtube.com/watch?v=zLaVP8IhIuc,Attack on Titan Season 2,82793,2160177,17059,15018,162618,2437665
4181,Clannad: After Story,tv,8.94,613647,finished_airing,visual_novel,1090226,66806,pg_13,2008,"['Drama', 'Romance', 'Supernatural']",[],[],https://cdn.myanimelist.net/images/anime/1299/110774l.jpg,https://www.youtube.com/watch?v=WiTwXIAcm5Q,Clannad ~After Story~,35698,760277,19899,15887,282596,1114357
37779,Yakusoku no Neverland,tv,8.54,1128013,finished_airing,manga,1716058,31342,r,2019,"['Mystery', 'Sci-Fi', 'Suspense']","['Psychological', 'Survival']",['Shounen'],https://cdn.myanimelist.net/images/anime/1830/118780l.jpg,https://www.youtube.com/watch?v=JIcjo7XVlOY,The Promised Neverland,91148,1420657,25720,25754,214925,1778204
28891,Haikyuu!! Second Season,tv,8.64,837304,finished_airing,manga,1258442,15129,pg_13,2015,['Sports'],"['School', 'Team Sports']",['Shounen'],https://cdn.myanimelist.net/images/anime/9/76662l.jpg,https://www.youtube.com/watch?v=SIg52zW5ncM,Haikyu!! 2nd Season,56097,1121108,15819,8234,98717,1299975
431,Howl no Ugoku Shiro,movie,8.66,794304,finished_airing,novel,1146746,23939,g,2004,"['Adventure', 'Drama', 'Fantasy', 'Romance']",[],[],https://cdn.myanimelist.net/images/anime/5/75810l.jpg,https://www.youtube.com/watch?v=iwROgK94zcM,Howl's Moving Castle,13266,1063504,3222,1269,107473,1188734
2001,Tengen Toppa Gurren Lagann,tv,8.63,826245,finished_airing,original,1461920,72587,pg_13,2007,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],[],https://cdn.myanimelist.net/images/anime/4/5123l.jpg,https://www.youtube.com/watch?v=rAQylCHv8Cw,Gurren Lagann,88321,972629,68358,52576,315854,1497738
164,Mononoke Hime,movie,8.68,718460,finished_airing,original,1109949,19053,pg_13,1997,"['Action', 'Adventure', 'Fantasy']",[],[],https://cdn.myanimelist.net/images/anime/7/75919l.jpg,https://www.youtube.com/watch?v=4OiMOHRDs14,Princess Mononoke,16093,957664,4534,1866,162691,1142848
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,movie,8.66,775474,finished_airing,manga,1186991,11878,r,2020,"['Action', 'Fantasy']",['Historical'],['Shounen'],https://cdn.myanimelist.net/images/anime/1704/106947l.jpg,https://www.youtube.com/watch?v=PrZ0O8Qp18s,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,21356,1050476,3273,1547,190738,1267390
47778,Kimetsu no Yaiba: Yuukaku-hen,tv,8.86,562826,finished_airing,manga,937841,20645,r,2022,"['Action', 'Fantasy']",['Historical'],['Shounen'],https://cdn.myanimelist.net/images/anime/1908/120036l.jpg,https://www.youtube.com/watch?v=QwvWdnd2Ktg,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,104427,776848,7578,3215,160046,1052114
37521,Vinland Saga,tv,8.73,619634,finished_airing,manga,1131303,33881,r,2019,"['Action', 'Adventure', 'Drama']",['Historical'],['Seinen'],https://cdn.myanimelist.net/images/anime/1500/103005l.jpg,https://www.youtube.com/watch?v=f8JrZ7Q_p-8,,115688,762331,34900,19200,277652,1209771
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,tv,8.65,711087,finished_airing,manga,1114716,18430,pg_13,2020,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",['Seinen'],https://cdn.myanimelist.net/images/anime/1764/106659l.jpg,https://www.youtube.com/watch?v=_NkxM_uLUpw,Kaguya-sama: Love is War Season 2,81512,894860,16411,9101,171426,1173310
32182,Mob Psycho 100,tv,8.48,1083282,finished_airing,web_manga,1759661,39581,pg_13,2016,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[],https://cdn.myanimelist.net/images/anime/8/80356l.jpg,https://www.youtube.com/watch?v=F8g3TuKsQHs,Mob Psycho 100,97277,1395823,37567,27005,284543,1842215
34599,Made in Abyss,tv,8.67,625109,finished_airing,web_manga,1160278,38020,r,2017,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",[],[],https://cdn.myanimelist.net/images/anime/6/86733l.jpg,https://www.youtube.com/watch?v=AQbaZeby2zA,Made in Abyss,71771,781926,28201,17503,317704,1217105
20583,Haikyuu!!,tv,8.45,1080271,finished_airing,manga,1722363,67117,pg_13,2014,['Sports'],"['School', 'Team Sports']",['Shounen'],https://cdn.myanimelist.net/images/anime/7/76014l.jpg,https://www.youtube.com/watch?v=JOGp2c7-cKc,Haikyu!!,112831,1374648,47549,37860,209703,1782591
50265,Spy x Family,tv,8.82,498502,finished_airing,manga,922792,29844,pg_13,2022,"['Action', 'Comedy']",['Childcare'],['Shounen'],https://cdn.myanimelist.net/images/anime/1441/122795l.jpg,https://www.youtube.com/watch?v=ofXigq9aIpo,,252487,694176,14594,9012,153282,1123551
11741,Fate/Zero 2nd Season,tv,8.56,648863,finished_airing,light_novel,1014815,19468,r,2012,"['Action', 'Fantasy', 'Supernatural']",[],[],https://cdn.myanimelist.net/images/anime/1522/117645l.jpg,https://www.youtube.com/watch?v=FkZ1euZ-S-Y,Fate/Zero Season 2,27738,838601,10651,6146,156639,1039775
30654,Ansatsu Kyoushitsu 2nd Season,tv,8.5,783848,finished_airing,manga,1253736,16695,pg_13,2016,"['Action', 'Comedy']",['School'],['Shounen'],https://cdn.myanimelist.net/images/anime/8/77966l.jpg,https://www.youtube.com/watch?v=tZiHgr0kd7E,Assassination Classroom Second Season,59273,1034915,29587,17855,155546,1297176
48583,Shingeki no Kyojin: The Final Season Part 2,tv,8.82,465392,finished_airing,manga,905001,26577,r,2022,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],https://cdn.myanimelist.net/images/anime/1948/120625l.jpg,https://www.youtube.com/watch?v=EIVVnLlhzr0,Attack on Titan: The Final Season Part 2,180228,567302,14782,7554,219905,989771
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,tv,8.41,927051,finished_airing,manga,1461457,34404,pg_13,2019,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",['Seinen'],https://cdn.myanimelist.net/images/anime/1295/106551l.jpg,https://www.youtube.com/watch?v=Ti2kJ-GYO68,Kaguya-sama: Love is War,94540,1162692,29646,26339,215249,1528466
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,tv,8.58,569695,finished_airing,manga,857900,27805,r,2018,"['Action', 'Adventure']",['Organized Crime'],['Shounen'],https://cdn.myanimelist.net/images/anime/1572/95010l.jpg,https://www.youtube.com/watch?v=R92KmKcg07Y,JoJo's Bizarre Adventure: Golden Wind,74787,691971,15122,8985,107954,898819
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,tv,8.5,656285,finished_airing,manga,952930,35034,r,2016,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",[],['Shounen'],https://cdn.myanimelist.net/images/anime/3/79156l.jpg,https://www.youtube.com/watch?v=gagUdy3AY14,JoJo's Bizarre Adventure: Diamond is Unbreakable,56959,820190,15762,9161,92773,994845
32,Neon Genesis Evangelion: The End of Evangelion,movie,8.55,535545,finished_airing,original,802847,24715,r+,1997,"['Avant Garde', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",[],https://cdn.myanimelist.net/images/anime/1404/98182l.jpg,https://www.youtube.com/watch?v=Gk72E4qgEng,Neon Genesis Evangelion: The End of Evangelion,12818,707064,3508,2294,109388,835072
22535,Kiseijuu: Sei no Kakuritsu,tv,8.35,1031280,finished_airing,manga,1654705,31493,r,2014,"['Action', 'Horror', 'Sci-Fi']","['Gore', 'Psychological']",['Seinen'],https://cdn.myanimelist.net/images/anime/3/73178l.jpg,https://www.youtube.com/watch?v=9Oe9umzw1Gc,Parasyte: The Maxim,86013,1293475,41130,30857,252503,1703978
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,tv,8.44,676872,finished_airing,manga,949735,18405,r,2015,"['Action', 'Adventure', 'Drama', 'Supernatural']",[],['Shounen'],https://cdn.myanimelist.net/images/anime/11/75045l.jpg,https://www.youtube.com/watch?v=JA48VBSl4nc,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,29122,874615,7430,4566,74389,990122
205,Samurai Champloo,tv,8.5,579698,finished_airing,original,1114174,33761,r,2004,"['Action', 'Adventure', 'Comedy']","['Historical', 'Samurai']",['Shounen'],https://cdn.myanimelist.net/images/anime/1375/121599l.jpg,,Samurai Champloo,78114,686328,57740,25734,295055,1142971
36098,Kimi no Suizou wo Tabetai,movie,8.57,472985,finished_airing,novel,787056,17518,pg_13,2018,"['Drama', 'Romance', 'Slice of Life']",[],[],https://cdn.myanimelist.net/images/anime/1768/93291l.jpg,https://www.youtube.com/watch?v=MONVPR1dnRQ,I Want To Eat Your Pancreas,18560,607219,4294,1790,196310,828173
30,Neon Genesis Evangelion,tv,8.34,941487,finished_airing,original,1577958,92424,pg_13,1995,"['Action', 'Avant Garde', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",[],https://cdn.myanimelist.net/images/anime/1314/108941l.jpg,https://www.youtube.com/watch?v=woto6QFUNbg,Neon Genesis Evangelion,103337,1157317,50471,29022,295907,1636054
31043,Boku dake ga Inai Machi,tv,8.31,1214990,finished_airing,manga,1852327,43956,r,2016,['Mystery'],"['Psychological', 'Time Travel']",['Seinen'],https://cdn.myanimelist.net/images/anime/10/77957l.jpg,https://www.youtube.com/watch?v=DwmxEAWjTQQ,ERASED,65037,1522864,20150,15185,285637,1908873
918,Gintama,tv,8.95,360760,finished_airing,manga,954554,55076,pg_13,2006,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen'],https://cdn.myanimelist.net/images/anime/10/73274l.jpg,,Gintama,187181,299422,112786,49594,330193,979176
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,tv,8.33,909507,finished_airing,original,1475164,31578,pg_13,2011,"['Drama', 'Slice of Life', 'Supernatural']",[],[],https://cdn.myanimelist.net/images/anime/5/79697l.jpg,https://www.youtube.com/watch?v=_p7fkViY-0I,Anohana: The Flower We Saw That Day,44652,1134487,24422,18492,285450,1507503
12355,Ookami Kodomo no Ame to Yuki,movie,8.59,422750,finished_airing,original,742812,10646,g,2012,"['Fantasy', 'Slice of Life']",['Childcare'],[],https://cdn.myanimelist.net/images/anime/9/35721l.jpg,https://www.youtube.com/watch?v=8xLji7WsW0w,Wolf Children,13995,549338,4283,1629,190082,759327
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,tv,8.73,371600,finished_airing,light_novel,621116,14756,r,2021,"['Drama', 'Ecchi', 'Fantasy']","['Isekai', 'Reincarnation']",[],https://cdn.myanimelist.net/images/anime/1028/117777l.jpg,https://www.youtube.com/watch?v=BbbRytVhaDs,Mushoku Tensei: Jobless Reincarnation Part 2,66039,496200,6833,4310,108882,682264
13601,Psycho-Pass,tv,8.35,720254,finished_airing,original,1479179,36094,r,2012,"['Action', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",[],https://cdn.myanimelist.net/images/anime/5/43399l.jpg,https://www.youtube.com/watch?v=DgDBzAHg4wU,Psycho-Pass,100365,876790,67371,48052,424183,1516761
9756,Mahou Shoujo Madoka★Magica,tv,8.36,686406,finished_airing,original,1165286,49685,pg_13,2011,"['Drama', 'Suspense']","['Mahou Shoujo', 'Psychological']",[],https://cdn.myanimelist.net/images/anime/11/55225l.jpg,https://www.youtube.com/watch?v=laTRlKXrCXk,Puella Magi Madoka Magica,48593,848962,29747,25902,240884,1194088
33255,Saiki Kusuo no Ψ-nan,tv,8.43,524823,finished_airing,manga,937128,25126,pg_13,2016,"['Comedy', 'Supernatural']","['Gag Humor', 'School']",['Shounen'],https://cdn.myanimelist.net/images/anime/11/80167l.jpg,https://www.youtube.com/watch?v=IAbl6zAxTBQ,The Disastrous Life of Saiki K.,97363,621606,47399,32902,177446,976716
245,Great Teacher Onizuka,tv,8.69,364906,finished_airing,manga,734523,23555,r,1999,"['Comedy', 'Drama']","['Delinquents', 'School', 'Workplace']",['Shounen'],https://cdn.myanimelist.net/images/anime/13/11460l.jpg,,Great Teacher Onizuka,60062,416231,42148,23024,215736,757201
5081,Bakemonogatari,tv,8.34,681135,finished_airing,light_novel,1289959,46452,r,2009,"['Mystery', 'Romance', 'Supernatural']",['Vampire'],[],https://cdn.myanimelist.net/images/anime/11/75274l.jpg,https://www.youtube.com/watch?v=PugZi9QKL64,Bakemonogatari,88381,807843,58472,43701,317651,1316048
31240,Re:Zero kara Hajimeru Isekai Seikatsu,tv,8.25,1264633,finished_airing,light_novel,1949028,61663,r,2016,"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",[],https://cdn.myanimelist.net/images/anime/11/79410l.jpg,https://www.youtube.com/watch?v=vFfXjuVA1Jk,Re:ZERO -Starting Life in Another World-,125427,1548495,43080,49306,236899,2003207
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,movie,8.62,380542,finished_airing,light_novel,597227,9227,pg_13,2019,"['Drama', 'Romance', 'Supernatural']",['School'],[],https://cdn.myanimelist.net/images/anime/1613/102179l.jpg,https://www.youtube.com/watch?v=QRJmlbgedkQ,Rascal Does Not Dream of a Dreaming Girl,13225,486883,3449,1743,118456,623756
1735,Naruto: Shippuuden,tv,8.24,1445838,finished_airing,manga,2151550,98934,pg_13,2007,"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],['Shounen'],https://cdn.myanimelist.net/images/anime/1565/111305l.jpg,https://www.youtube.com/watch?v=1dy2zPPrKD0,Naruto Shippuden,419109,1415050,131949,146138,118602,2230848
38691,Dr. Stone,tv,8.29,891968,finished_airing,manga,1469027,24380,pg_13,2019,"['Adventure', 'Comedy', 'Sci-Fi']","['Survival', 'Time Travel']",['Shounen'],https://cdn.myanimelist.net/images/anime/1613/102576l.jpg,https://www.youtube.com/watch?v=2ei4KpfCOAI,Dr. Stone,141646,1084162,44357,46486,212218,1528869
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,tv,8.37,593681,finished_airing,light_novel,970325,23516,r,2021,"['Drama', 'Ecchi', 'Fantasy']","['Isekai', 'Reincarnation']",[],https://cdn.myanimelist.net/images/anime/1530/117776l.jpg,https://www.youtube.com/watch?v=Qx01pn9l-6g,Mushoku Tensei: Jobless Reincarnation,93323,754006,11252,13852,166804,1039237
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,tv,8.27,952634,finished_airing,light_novel,1488839,42100,pg_13,2018,"['Comedy', 'Drama', 'Romance', 'Supernatural']",['School'],[],https://cdn.myanimelist.net/images/anime/1301/93586l.jpg,https://www.youtube.com/watch?v=ku7XxxXpIKI,Rascal Does Not Dream of Bunny Girl Senpai,90700,1179766,29877,32045,214164,1546552
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,tv,8.28,892930,finished_airing,light_novel,1331506,11352,pg_13,2017,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",[],https://cdn.myanimelist.net/images/anime/2/83188l.jpg,https://www.youtube.com/watch?v=9jVxMt845AY,KonoSuba: God's Blessing on This Wonderful World! 2,49885,1160867,16049,12143,131941,1370885
