anime_id,watching,completed,on_hold,dropped,plan_to_watch,total
21899,1232,23233,647,630,15261,41003
467,19977,189953,17763,9366,138347,375406
50612,5004,88391,896,271,57463,152025
36538,1898,29566,701,345,31400,63910
35851,12605,200148,3703,1335,161982,379773
25781,10083,392787,3109,1296,59562,466837
39741,6605,273060,2364,905,80286,363220
37999,94540,1162692,29646,26339,215249,1528466
48653,487,13646,64,107,1723,16027
5205,3631,136613,1860,744,52872,195720
5028,2002,52408,792,784,11382,67368
39551,67654,571366,7642,5506,144801,796969
36275,1653,26519,630,306,13180,42288
37965,22644,145563,10322,8244,86664,273437
35557,22853,208111,9939,9070,162512,412485
32366,2876,55140,887,619,18817,78339
136,37924,336605,20835,19798,126927,542089
39808,8939,46775,2526,1228,49621,109089
5941,6158,55358,4630,4000,47791,117937
14397,8387,153331,5268,3271,50386,220643
40730,10033,53427,2622,2326,38338,106746
49926,38736,407320,5407,9313,59190,519966
22789,28542,391229,17011,9927,170419,617128
31646,54862,286711,35440,22637,229482,629132
10162,17095,282347,10254,6805,150608,467109
9260,10245,329501,3011,1535,143944,488236
5,5918,258240,2619,1041,79543,347361
30709,8389,107678,2514,1334,32336,152251
41025,156292,284646,40857,28439,232975,743209
2251,41437,420840,35024,21961,335137,854399
39547,47343,413451,13960,8511,157421,640686
11979,2834,136190,1421,1067,49030,190542
39587,85649,675754,19613,12253,190024,983293
39535,93323,754006,11252,13852,166804,1039237
10030,10933,255238,7260,4408,58362,336201
37515,2521,61279,862,1046,45859,111567
572,4124,274852,1928,1019,61015,342938
39247,51625,268826,9696,5782,145194,481123
9756,48593,848962,29747,25902,240884,1194088
777,73076,512644,41491,22066,203768,853045
38883,52103,655416,11506,4660,100708,824393
22535,86013,1293475,41130,30857,252503,1703978
17389,5637,68242,1869,1643,34140,111531
48661,82841,184425,12375,2065,109964,391670
9617,4496,232954,2080,1084,64758,305372
6945,1369,46824,592,476,16082,65343
13601,100365,876790,67371,48052,424183,1516761
39533,24879,345969,8999,10710,111109,501666
2559,1919,20436,1170,846,21898,46269
12029,6896,41658,3949,2179,53486,108168
44042,20756,0,2742,2473,22733,48704
48736,108879,544710,11364,15565,125325,805843
42984,490,23657,86,149,2565,26947
20651,1706,48157,700,357,24328,75248
30,103337,1157317,50471,29022,295907,1636054
5040,10987,128699,7618,5919,68797,222020
7655,1967,46393,881,690,9561,59492
5081,88381,807843,58472,43701,317651,1316048
6594,38605,235449,26390,16005,214478,530927
338,5717,30921,4585,2815,44351,88389
9989,44652,1134487,24422,18492,285450,1507503
34534,1205,27430,526,266,12259,41686
10937,9180,28468,3077,1022,24633,66380
5341,15093,329286,10387,5240,102705,462711
