manga_id,reading,completed,on_hold,dropped,plan_to_read,total
114745,65935,2781,5437,2292,30528,106973
743,2534,47063,679,245,23724,74245
419,3513,8732,1547,820,10666,25278
8967,7211,78866,1827,1559,34659,124122
88930,7230,793,1148,512,10919,20602
24692,89722,5694,17496,5820,49144,167876
33031,8932,22411,1649,779,28874,62645
138673,2908,48579,176,29,11811,63503
110160,1318,7071,201,98,7269,15957
26728,2691,5453,936,450,10506,20036
3572,1806,5236,625,250,8916,16833
974,2091,5853,989,678,10997,20608
87609,83404,3732,6223,3313,17220,113892
9711,31810,70020,11666,7466,42506,163468
42,18965,92722,8240,4955,17569,142451
2921,32560,77149,8851,5716,28720,152996
99314,11900,38438,1522,2009,25154,79023
10573,14881,2761,2460,1360,4387,25849
48621,2372,45693,335,228,10029,58657
93699,3368,5456,680,290,12525,22319
77609,7416,2458,1117,293,6149,17433
10552,6061,23118,1759,1238,21977,54153
3807,1334,372,462,153,6017,8338
6164,2963,10171,732,376,14195,28437
42001,6718,881,1542,511,17896,27548
141120,6223,7314,1013,509,4860,19919
3573,543,4845,177,77,3808,9450
22651,20984,47493,2708,1751,15097,88033
401,10493,51931,2990,1794,27297,94505
39325,9857,42547,2199,1286,25976,81865
1414,5273,10005,1795,1149,11980,30202
106,5335,35535,2948,1489,13629,58936
93516,18568,17574,2221,980,17078,56421
102343,43566,2076,7616,3454,35057,91769
132214,50714,2197,3951,1729,11712,70303
10,15007,25962,6969,3535,25723,77196
48347,18193,974,3005,1073,12878,36123
79993,299,1028,69,72,1775,3243
58141,2833,11342,471,419,9727,24792
98380,3070,689,503,224,4254,8740
16081,862,7899,261,118,3821,12961
61189,39683,2370,6855,3277,32629,84814
137200,3783,979,462,176,2713,8113
77597,2629,435,354,149,4271,7838
923,1299,6324,508,367,5917,14415
89087,49800,21915,5914,2482,36824,116935
119392,613,9631,109,64,4883,15300
16816,5186,4559,1805,804,13156,25510
95243,1380,393,252,79,3103,5207
31,6324,30761,2730,1550,17179,58544
869,3331,13566,1533,902,9261,28593
936,11015,38724,3075,1727,49014,103555
736,3282,10131,1142,814,17401,32770
660,1484,4554,607,312,7727,14684
895,2226,4759,586,287,3409,11267
110771,3754,114,585,189,5444,10086
85781,22659,533,2586,1235,19151,46164
85,3876,26535,1883,988,13257,46539
35573,20155,72984,4211,2452,43716,143518
3575,2126,7587,667,404,11640,22424
